ID,Species,Scientific.Name
149,Pale-vented Pigeon,Patagioenas cayennensis
150,Scaled Pigeon,Patagioenas speciosa
151,Scaly-naped Pigeon,Patagioenas squamosa
152,White-crowned Pigeon,Patagioenas leucocephala
153,Red-billed Pigeon,Patagioenas flavirostris
154,Plain Pigeon,Patagioenas inornata
155,Band-tailed Pigeon,Patagioenas fasciata
156,Ring-tailed Pigeon,Patagioenas caribaea
157,Plumbeous Pigeon,Patagioenas plumbea
158,Ruddy Pigeon,Patagioenas subvinacea
159,Short-billed Pigeon,Patagioenas nigrirostris
160,Dusky Pigeon,Patagioenas goodsoni
161,Oriental Turtle-Dove,Streptopelia orientalis
162,African Collared-Dove,Streptopelia roseogrisea
163,European Turtle-Dove,Streptopelia turtur
164,Eurasian Collared-Dove,Streptopelia decaocto
165,Spotted Dove,Streptopelia chinensis
166,Zebra Dove,Geopelia striata
167,Passenger Pigeon,Ectopistes migratorius
168,Inca Dove,Columbina inca
169,Common Ground-Dove,Columbina passerina
170,Plain-breasted Ground-Dove,Columbina minuta
171,Ruddy Ground-Dove,Columbina talpacoti
172,Blue Ground-Dove,Claravis pretiosa
173,Maroon-chested Ground-Dove,Claravis mondetoura
174,Blue-headed Quail-Dove,Starnoenas cyanocephala
175,Crested Quail-Dove,Geotrygon versicolor
176,Ruddy Quail-Dove,Geotrygon montana
177,Violaceous Quail-Dove,Geotrygon violacea
178,Gray-fronted Quail-Dove,Geotrygon caniceps
179,White-fronted Quail-Dove,Geotrygon leucometopia
180,Key West Quail-Dove,Geotrygon chrysia
181,Bridled Quail-Dove,Geotrygon mystacea
182,Olive-backed Quail-Dove,Leptotrygon veraguensis
183,White-tipped Dove,Leptotila verreauxi
184,Caribbean Dove,Leptotila jamaicensis
185,Gray-chested Dove,Leptotila cassinii
186,Gray-headed Dove,Leptotila plumbeiceps
187,Grenada Dove,Leptotila wellsi
188,Tuxtla Quail-Dove,Zentrygon carrikeri
189,Buff-fronted Quail-Dove,Zentrygon costaricensis
190,Purplish-backed Quail-Dove,Zentrygon lawrencii
191,White-faced Quail-Dove,Zentrygon albifacies
192,Chiriqui Quail-Dove,Zentrygon chiriquensis
193,Russet-crowned Quail-Dove,Zentrygon goldmani
194,White-winged Dove,Zenaida asiatica
195,Zenaida Dove,Zenaida aurita
196,Eared Dove,Zenaida auriculata
197,Mourning Dove,Zenaida macroura
198,Socorro Dove,Zenaida graysoni
199,Common Cuckoo,Cuculus canorus
200,Oriental Cuckoo,Cuculus optatus
201,Little Cuckoo,Coccycua minuta
202,Squirrel Cuckoo,Piaya cayana
203,Dark-billed Cuckoo,Coccyzus melacoryphus
204,Yellow-billed Cuckoo,Coccyzus americanus
205,Pearly-breasted Cuckoo,Coccyzus euleri
206,Mangrove Cuckoo,Coccyzus minor
207,Cocos Cuckoo,Coccyzus ferrugineus
208,Black-billed Cuckoo,Coccyzus erythropthalmus
209,Chestnut-bellied Cuckoo,Coccyzus pluvialis
210,Bay-breasted Cuckoo,Coccyzus rufigularis
211,Jamaican Lizard-Cuckoo,Coccyzus vetula
212,Puerto Rican Lizard-Cuckoo,Coccyzus vieilloti
213,Great Lizard-Cuckoo,Coccyzus merlini
214,Hispaniolan Lizard-Cuckoo,Coccyzus longirostris
215,Striped Cuckoo,Tapera naevia
216,Pheasant Cuckoo,Dromococcyx phasianellus
217,Lesser Ground-Cuckoo,Morococcyx erythropygus
218,Lesser Roadrunner,Geococcyx velox
219,Greater Roadrunner,Geococcyx californianus
220,Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi
221,Greater Ani,Crotophaga major
222,Smooth-billed Ani,Crotophaga ani
223,Groove-billed Ani,Crotophaga sulcirostris
224,Short-tailed Nighthawk,Lurocalis semitorquatus
225,Lesser Nighthawk,Chordeiles acutipennis
226,Common Nighthawk,Chordeiles minor
227,Antillean Nighthawk,Chordeiles gundlachii
228,Common Pauraque,Nyctidromus albicollis
229,Common Poorwill,Phalaenoptilus nuttallii
230,Jamaican Pauraque,Siphonorhis americana
231,Least Pauraque,Siphonorhis brewsteri
232,Eared Poorwill,Nyctiphrynus mcleodii
233,Yucatan Poorwill,Nyctiphrynus yucatanicus
234,Ocellated Poorwill,Nyctiphrynus ocellatus
235,Chuck-will's-widow,Antrostomus carolinensis
236,Rufous Nightjar,Antrostomus rufus
237,Greater Antillean Nightjar,Antrostomus cubanensis
238,Tawny-collared Nightjar,Antrostomus salvini
239,Yucatan Nightjar,Antrostomus badius
240,Buff-collared Nightjar,Antrostomus ridgwayi
241,Eastern Whip-poor-will,Antrostomus vociferus
242,Dusky Nightjar,Antrostomus saturatus
243,Mexican Whip-poor-will,Antrostomus arizonae
244,Puerto Rican Nightjar,Antrostomus noctitherus
245,White-tailed Nightjar,Hydropsalis cayennensis
246,Spot-tailed Nightjar,Hydropsalis maculicaudus
247,Gray Nightjar,Caprimulgus indicus
248,Oilbird,Steatornis caripensis
249,Great Potoo,Nyctibius grandis
250,Common Potoo,Nyctibius griseus
251,Northern Potoo,Nyctibius jamaicensis
