ID,Species,Scientific.Name
623,Red-billed Tropicbird,Phaethon aethereus
624,Red-tailed Tropicbird,Phaethon rubricauda
625,Red-throated Loon,Gavia stellata
626,Arctic Loon,Gavia arctica
627,Pacific Loon,Gavia pacifica
628,Common Loon,Gavia immer
629,Yellow-billed Loon,Gavia adamsii
630,Yellow-nosed Albatross,Thalassarche chlororhynchos
631,White-capped Albatross,Thalassarche cauta
632,Chatham Albatross,Thalassarche eremita
633,Salvin's Albatross,Thalassarche salvini
634,Black-browed Albatross,Thalassarche melanophris
635,Light-mantled Albatross,Phoebetria palpebrata
636,Wandering Albatross,Diomedea exulans
637,Laysan Albatross,Phoebastria immutabilis
638,Black-footed Albatross,Phoebastria nigripes
639,Waved Albatross,Phoebastria irrorata
640,Short-tailed Albatross,Phoebastria albatrus
641,Northern Fulmar,Fulmarus glacialis
642,Great-winged Petrel,Pterodroma macroptera
643,Providence Petrel,Pterodroma solandri
644,Kermadec Petrel,Pterodroma neglecta
645,Trindade Petrel,Pterodroma arminjoniana
646,Herald Petrel,Pterodroma heraldica
647,Murphy's Petrel,Pterodroma ultima
648,Mottled Petrel,Pterodroma inexpectata
649,Bermuda Petrel,Pterodroma cahow
650,Black-capped Petrel,Pterodroma hasitata
651,Juan Fernandez Petrel,Pterodroma externa
652,Galapagos Petrel,Pterodroma phaeopygia
653,Hawaiian Petrel,Pterodroma sandwichensis
654,White-necked Petrel,Pterodroma cervicalis
655,Bonin Petrel,Pterodroma hypoleuca
656,Black-winged Petrel,Pterodroma nigripennis
657,Fea's Petrel,Pterodroma feae
658,Zino's Petrel,Pterodroma madeira
659,Cook's Petrel,Pterodroma cookii
660,Stejneger's Petrel,Pterodroma longirostris
661,Tahiti Petrel,Pterodroma rostrata
662,Bulwer's Petrel,Bulweria bulwerii
663,Jouanin's Petrel,Bulweria fallax
664,White-chinned Petrel,Procellaria aequinoctialis
665,Parkinson's Petrel,Procellaria parkinsoni
666,Streaked Shearwater,Calonectris leucomelas
667,Cory's Shearwater,Calonectris diomedea
668,Cape Verde Shearwater,Calonectris edwardsii
669,Wedge-tailed Shearwater,Ardenna pacifica
670,Buller's Shearwater,Ardenna bulleri
671,Short-tailed Shearwater,Ardenna tenuirostris
672,Sooty Shearwater,Ardenna grisea
673,Great Shearwater,Ardenna gravis
674,Pink-footed Shearwater,Ardenna creatopus
675,Flesh-footed Shearwater,Ardenna carneipes
676,Christmas Shearwater,Puffinus nativitatis
677,Galapagos Shearwater,Puffinus subalaris
678,Manx Shearwater,Puffinus puffinus
679,Townsend's Shearwater,Puffinus auricularis
680,Newell's Shearwater,Puffinus newelli
681,Bryan's Shearwater,Puffinus bryani
682,Black-vented Shearwater,Puffinus opisthomelas
683,Audubon's Shearwater,Puffinus lherminieri
684,Barolo Shearwater,Puffinus baroli
685,Wilson's Storm-Petrel,Oceanites oceanicus
686,White-faced Storm-Petrel,Pelagodroma marina
687,European Storm-Petrel,Hydrobates pelagicus
688,Black-bellied Storm-Petrel,Fregetta tropica
689,Fork-tailed Storm-Petrel,Oceanodroma furcata
690,Ringed Storm-Petrel,Oceanodroma hornbyi
691,Swinhoe's Storm-Petrel,Oceanodroma monorhis
692,Leach's Storm-Petrel,Oceanodroma leucorhoa
693,Townsend's Storm-Petrel,Oceanodroma socorroensis
694,Ainley's Storm-Petrel,Oceanodroma cheimomnestes
695,Ashy Storm-Petrel,Oceanodroma homochroa
696,Band-rumped Storm-Petrel,Oceanodroma castro
697,Wedge-rumped Storm-Petrel,Oceanodroma tethys
698,Black Storm-Petrel,Oceanodroma melania
699,Guadalupe Storm-Petrel,Oceanodroma macrodactyla
700,Markham's Storm-Petrel,Oceanodroma markhami
701,Tristram's Storm-Petrel,Oceanodroma tristrami
702,Least Storm-Petrel,Oceanodroma microsoma
703,Maguari Stork,Ciconia maguari
704,Jabiru,Jabiru mycteria
705,Wood Stork,Mycteria americana
706,Magnificent Frigatebird,Fregata magnificens
707,Great Frigatebird,Fregata minor
708,Lesser Frigatebird,Fregata ariel
709,Masked Booby,Sula dactylatra
710,Nazca Booby,Sula granti
711,Blue-footed Booby,Sula nebouxii
712,Peruvian Booby,Sula variegata
713,Brown Booby,Sula leucogaster
714,Red-footed Booby,Sula sula
715,Northern Gannet,Morus bassanus
716,Brandt's Cormorant,Phalacrocorax penicillatus
717,Neotropic Cormorant,Phalacrocorax brasilianus
718,Double-crested Cormorant,Phalacrocorax auritus
719,Great Cormorant,Phalacrocorax carbo
720,Red-faced Cormorant,Phalacrocorax urile
721,Pelagic Cormorant,Phalacrocorax pelagicus
722,Anhinga,Anhinga anhinga
723,American White Pelican,Pelecanus erythrorhynchos
724,Brown Pelican,Pelecanus occidentalis
725,Pinnated Bittern,Botaurus pinnatus
726,American Bittern,Botaurus lentiginosus
727,Yellow Bittern,Ixobrychus sinensis
728,Least Bittern,Ixobrychus exilis
729,Little Bittern,Ixobrychus minutus
730,Rufescent Tiger-Heron,Tigrisoma lineatum
731,Fasciated Tiger-Heron,Tigrisoma fasciatum
732,Bare-throated Tiger-Heron,Tigrisoma mexicanum
733,Great Blue Heron,Ardea herodias
734,Gray Heron,Ardea cinerea
735,Cocoi Heron,Ardea cocoi
736,Purple Heron,Ardea purpurea
737,Great Egret,Ardea alba
738,Intermediate Egret,Ardea intermedia
739,Whistling Heron,Syrigma sibilatrix
740,Chinese Egret,Egretta eulophotes
741,Little Egret,Egretta garzetta
742,Western Reef-Heron,Egretta gularis
743,Snowy Egret,Egretta thula
744,Little Blue Heron,Egretta caerulea
745,Tricolored Heron,Egretta tricolor
746,Reddish Egret,Egretta rufescens
747,Cattle Egret,Bubulcus ibis
748,Chinese Pond-Heron,Ardeola bacchus
749,Green Heron,Butorides virescens
750,Striated Heron,Butorides striata
751,Agami Heron,Agamia agami
752,Capped Heron,Pilherodius pileatus
753,Black-crowned Night-Heron,Nycticorax nycticorax
754,Yellow-crowned Night-Heron,Nyctanassa violacea
755,Boat-billed Heron,Cochlearius cochlearius
756,White Ibis,Eudocimus albus
757,Scarlet Ibis,Eudocimus ruber
758,Glossy Ibis,Plegadis falcinellus
759,White-faced Ibis,Plegadis chihi
760,Green Ibis,Mesembrinibis cayennensis
761,Buff-necked Ibis,Theristicus caudatus
762,Eurasian Spoonbill,Platalea leucorodia
763,Roseate Spoonbill,Platalea ajaja
764,Black Vulture,Coragyps atratus
765,Turkey Vulture,Cathartes aura
766,Lesser Yellow-headed Vulture,Cathartes burrovianus
767,California Condor,Gymnogyps californianus
768,King Vulture,Sarcoramphus papa
769,Osprey,Pandion haliaetus
770,Gray-headed Kite,Leptodon cayanensis
771,Hook-billed Kite,Chondrohierax uncinatus
772,Swallow-tailed Kite,Elanoides forficatus
773,Pearl Kite,Gampsonyx swainsonii
774,White-tailed Kite,Elanus leucurus
775,Snail Kite,Rostrhamus sociabilis
776,Slender-billed Kite,Helicolestes hamatus
777,Double-toothed Kite,Harpagus bidentatus
778,Mississippi Kite,Ictinia mississippiensis
779,Plumbeous Kite,Ictinia plumbea
780,Black Kite,Milvus migrans
781,Bald Eagle,Haliaeetus leucocephalus
782,White-tailed Eagle,Haliaeetus albicilla
783,Steller's Sea-Eagle,Haliaeetus pelagicus
784,Black-collared Hawk,Busarellus nigricollis
785,Northern Harrier,Circus hudsonius
786,Long-winged Harrier,Circus buffoni
787,Western Marsh Harrier,Circus aeruginosus
788,Gray-bellied Hawk,Accipiter poliogaster
789,Chinese Sparrowhawk,Accipiter soloensis
790,Tiny Hawk,Accipiter superciliosus
791,Sharp-shinned Hawk,Accipiter striatus
792,Cooper's Hawk,Accipiter cooperii
793,Gundlach's Hawk,Accipiter gundlachi
794,Bicolored Hawk,Accipiter bicolor
795,Northern Goshawk,Accipiter gentilis
796,Crane Hawk,Geranospiza caerulescens
797,Plumbeous Hawk,Cryptoleucopteryx plumbea
798,Common Black Hawk,Buteogallus anthracinus
799,Cuban Black Hawk,Buteogallus gundlachii
800,Savanna Hawk,Buteogallus meridionalis
801,Great Black Hawk,Buteogallus urubitinga
802,Solitary Eagle,Buteogallus solitarius
803,Barred Hawk,Morphnarchus princeps
804,Roadside Hawk,Rupornis magnirostris
805,Harris's Hawk,Parabuteo unicinctus
806,White-tailed Hawk,Geranoaetus albicaudatus
807,White Hawk,Pseudastur albicollis
808,Semiplumbeous Hawk,Leucopternis semiplumbeus
809,Gray Hawk,Buteo plagiatus
810,Gray-lined Hawk,Buteo nitidus
811,Red-shouldered Hawk,Buteo lineatus
812,Ridgway's Hawk,Buteo ridgwayi
813,Broad-winged Hawk,Buteo platypterus
814,Hawaiian Hawk,Buteo solitarius
815,Short-tailed Hawk,Buteo brachyurus
816,Swainson's Hawk,Buteo swainsoni
817,Zone-tailed Hawk,Buteo albonotatus
818,Red-tailed Hawk,Buteo jamaicensis
819,Rough-legged Hawk,Buteo lagopus
820,Ferruginous Hawk,Buteo regalis
821,Crested Eagle,Morphnus guianensis
822,Harpy Eagle,Harpia harpyja
823,Golden Eagle,Aquila chrysaetos
824,Black Hawk-Eagle,Spizaetus tyrannus
825,Ornate Hawk-Eagle,Spizaetus ornatus
826,Black-and-white Hawk-Eagle,Spizaetus melanoleucus
827,Barn Owl,Tyto alba
828,Ashy-faced Owl,Tyto glaucops
829,Oriental Scops-Owl,Otus sunia
830,Flammulated Owl,Psiloscops flammeolus
831,Western Screech-Owl,Megascops kennicottii
832,Eastern Screech-Owl,Megascops asio
833,Balsas Screech-Owl,Megascops seductus
834,Pacific Screech-Owl,Megascops cooperi
835,Whiskered Screech-Owl,Megascops trichopsis
836,Tropical Screech-Owl,Megascops choliba
837,Bearded Screech-Owl,Megascops barbarus
838,Vermiculated Screech-Owl,Megascops guatemalae
839,Bare-shanked Screech-Owl,Megascops clarkii
840,Puerto Rican Screech-Owl,Megascops nudipes
841,Bare-legged Owl,Margarobyas lawrencii
842,Crested Owl,Lophostrix cristata
843,Spectacled Owl,Pulsatrix perspicillata
844,Great Horned Owl,Bubo virginianus
845,Snowy Owl,Bubo scandiacus
846,Northern Hawk Owl,Surnia ulula
847,Northern Pygmy-Owl,Glaucidium gnoma
848,Costa Rican Pygmy-Owl,Glaucidium costaricanum
849,Central American Pygmy-Owl,Glaucidium griseiceps
850,Tamaulipas Pygmy-Owl,Glaucidium sanchezi
851,Colima Pygmy-Owl,Glaucidium palmarum
852,Ferruginous Pygmy-Owl,Glaucidium brasilianum
853,Cuban Pygmy-Owl,Glaucidium siju
854,Elf Owl,Micrathene whitneyi
855,Burrowing Owl,Athene cunicularia
856,Mottled Owl,Ciccaba virgata
857,Black-and-white Owl,Ciccaba nigrolineata
858,Spotted Owl,Strix occidentalis
859,Barred Owl,Strix varia
860,Fulvous Owl,Strix fulvescens
861,Great Gray Owl,Strix nebulosa
862,Long-eared Owl,Asio otus
863,Stygian Owl,Asio stygius
864,Short-eared Owl,Asio flammeus
865,Striped Owl,Pseudoscops clamator
866,Jamaican Owl,Pseudoscops grammicus
867,Boreal Owl,Aegolius funereus
868,Northern Saw-whet Owl,Aegolius acadicus
869,Unspotted Saw-whet Owl,Aegolius ridgwayi
870,Northern Boobook,Ninox japonica
871,Cuban Trogon,Priotelus temnurus
872,Hispaniolan Trogon,Priotelus roseigaster
873,Lattice-tailed Trogon,Trogon clathratus
874,Slaty-tailed Trogon,Trogon massena
875,Black-tailed Trogon,Trogon melanurus
876,Black-headed Trogon,Trogon melanocephalus
877,Citreoline Trogon,Trogon citreolus
878,White-tailed Trogon,Trogon chionurus
879,Baird's Trogon,Trogon bairdii
880,Gartered Trogon,Trogon caligatus
881,Black-throated Trogon,Trogon rufus
882,Elegant Trogon,Trogon elegans
883,Mountain Trogon,Trogon mexicanus
884,Collared Trogon,Trogon collaris
885,Orange-bellied Trogon,Trogon aurantiiventris
886,Eared Quetzal,Euptilotis neoxenus
887,Golden-headed Quetzal,Pharomachrus auriceps
888,Resplendent Quetzal,Pharomachrus mocinno
889,Eurasian Hoopoe,Upupa epops
890,Cuban Tody,Todus multicolor
891,Broad-billed Tody,Todus subulatus
892,Narrow-billed Tody,Todus angustirostris
893,Jamaican Tody,Todus todus
894,Puerto Rican Tody,Todus mexicanus
895,Tody Motmot,Hylomanes momotula
896,Blue-throated Motmot,Aspatha gularis
897,Russet-crowned Motmot,Momotus mexicanus
898,Blue-capped Motmot,Momotus coeruliceps
899,Lesson's Motmot,Momotus lessonii
900,Whooping Motmot,Momotus subrufescens
901,Rufous Motmot,Baryphthengus martii
902,Keel-billed Motmot,Electron carinatum
903,Broad-billed Motmot,Electron platyrhynchum
904,Turquoise-browed Motmot,Eumomota superciliosa
905,Ringed Kingfisher,Megaceryle torquata
906,Belted Kingfisher,Megaceryle alcyon
907,Amazon Kingfisher,Chloroceryle amazona
908,Green Kingfisher,Chloroceryle americana
909,Green-and-rufous Kingfisher,Chloroceryle inda
910,American Pygmy Kingfisher,Chloroceryle aenea
911,Barred Puffbird,Nystalus radiatus
912,White-necked Puffbird,Notharchus hyperrhynchus
913,Black-breasted Puffbird,Notharchus pectoralis
914,Pied Puffbird,Notharchus tectus
915,White-whiskered Puffbird,Malacoptila panamensis
916,Lanceolated Monklet,Micromonacha lanceolata
917,Gray-cheeked Nunlet,Nonnula frontalis
918,White-fronted Nunbird,Monasa morphoeus
919,Dusky-backed Jacamar,Brachygalba salmoni
920,Rufous-tailed Jacamar,Galbula ruficauda
921,Great Jacamar,Jacamerops aureus
922,Spot-crowned Barbet,Capito maculicoronatus
923,Red-headed Barbet,Eubucco bourcierii
924,Prong-billed Barbet,Semnornis frantzii
925,Northern Emerald-Toucanet,Aulacorhynchus prasinus
926,Collared Aracari,Pteroglossus torquatus
927,Fiery-billed Aracari,Pteroglossus frantzii
928,Yellow-eared Toucanet,Selenidera spectabilis
929,Keel-billed Toucan,Ramphastos sulfuratus
930,Yellow-throated Toucan,Ramphastos ambiguus
931,Eurasian Wryneck,Jynx torquilla
932,Olivaceous Piculet,Picumnus olivaceus
933,Antillean Piculet,Nesoctites micromegas
934,Lewis's Woodpecker,Melanerpes lewis
935,Guadeloupe Woodpecker,Melanerpes herminieri
936,Puerto Rican Woodpecker,Melanerpes portoricensis
937,Red-headed Woodpecker,Melanerpes erythrocephalus
938,Acorn Woodpecker,Melanerpes formicivorus
939,Golden-naped Woodpecker,Melanerpes chrysauchen
940,Black-cheeked Woodpecker,Melanerpes pucherani
941,Hispaniolan Woodpecker,Melanerpes striatus
942,Jamaican Woodpecker,Melanerpes radiolatus
943,Golden-cheeked Woodpecker,Melanerpes chrysogenys
944,Gray-breasted Woodpecker,Melanerpes hypopolius
945,Yucatan Woodpecker,Melanerpes pygmaeus
946,Red-crowned Woodpecker,Melanerpes rubricapillus
947,Gila Woodpecker,Melanerpes uropygialis
948,Hoffmann's Woodpecker,Melanerpes hoffmannii
949,Golden-fronted Woodpecker,Melanerpes aurifrons
950,Red-bellied Woodpecker,Melanerpes carolinus
951,West Indian Woodpecker,Melanerpes superciliaris
952,Williamson's Sapsucker,Sphyrapicus thyroideus
953,Yellow-bellied Sapsucker,Sphyrapicus varius
954,Red-naped Sapsucker,Sphyrapicus nuchalis
955,Red-breasted Sapsucker,Sphyrapicus ruber
956,Cuban Green Woodpecker,Xiphidiopicus percussus
957,Great Spotted Woodpecker,Dendrocopos major
958,Ladder-backed Woodpecker,Picoides scalaris
959,Nuttall's Woodpecker,Picoides nuttallii
960,Downy Woodpecker,Picoides pubescens
961,Smoky-brown Woodpecker,Picoides fumigatus
962,Hairy Woodpecker,Picoides villosus
963,Arizona Woodpecker,Picoides arizonae
964,Strickland's Woodpecker,Picoides stricklandi
965,Red-cockaded Woodpecker,Picoides borealis
966,White-headed Woodpecker,Picoides albolarvatus
967,American Three-toed Woodpecker,Picoides dorsalis
968,Black-backed Woodpecker,Picoides arcticus
969,Red-rumped Woodpecker,Veniliornis kirkii
970,Rufous-winged Woodpecker,Piculus simplex
971,Stripe-cheeked Woodpecker,Piculus callopterus
972,Golden-green Woodpecker,Piculus chrysochloros
973,Golden-olive Woodpecker,Colaptes rubiginosus
974,Gray-crowned Woodpecker,Colaptes auricularis
975,Spot-breasted Woodpecker,Colaptes punctigula
976,Northern Flicker,Colaptes auratus
977,Gilded Flicker,Colaptes chrysoides
978,Fernandina's Flicker,Colaptes fernandinae
979,Cinnamon Woodpecker,Celeus loricatus
980,Chestnut-colored Woodpecker,Celeus castaneus
981,Lineated Woodpecker,Dryocopus lineatus
982,Pileated Woodpecker,Dryocopus pileatus
983,Crimson-bellied Woodpecker,Campephilus haematogaster
984,Crimson-crested Woodpecker,Campephilus melanoleucos
985,Pale-billed Woodpecker,Campephilus guatemalensis
986,Ivory-billed Woodpecker,Campephilus principalis
987,Imperial Woodpecker,Campephilus imperialis
988,Laughing Falcon,Herpetotheres cachinnans
989,Barred Forest-Falcon,Micrastur ruficollis
990,Slaty-backed Forest-Falcon,Micrastur mirandollei
991,Collared Forest-Falcon,Micrastur semitorquatus
992,Red-throated Caracara,Ibycter americanus
993,Crested Caracara,Caracara cheriway
994,Guadalupe Caracara,Caracara lutosa
995,Yellow-headed Caracara,Milvago chimachima
996,Eurasian Kestrel,Falco tinnunculus
997,American Kestrel,Falco sparverius
998,Red-footed Falcon,Falco vespertinus
999,Merlin,Falco columbarius
1000,Eurasian Hobby,Falco subbuteo
1001,Aplomado Falcon,Falco femoralis
1002,Bat Falcon,Falco rufigularis
1003,Orange-breasted Falcon,Falco deiroleucus
1004,Gyrfalcon,Falco rusticolus
1005,Peregrine Falcon,Falco peregrinus
1006,Prairie Falcon,Falco mexicanus
1007,Painted Parakeet,Pyrrhura picta
1008,Sulphur-winged Parakeet,Pyrrhura hoffmanni
1009,Monk Parakeet,Myiopsitta monachus
1010,Carolina Parakeet,Conuropsis carolinensis
1011,Olive-throated Parakeet,Eupsittula nana
1012,Orange-fronted Parakeet,Eupsittula canicularis
1013,Brown-throated Parakeet,Eupsittula pertinax
1014,Nanday Parakeet,Aratinga nenday
1015,Chestnut-fronted Macaw,Ara severus
1016,Military Macaw,Ara militaris
1017,Great Green Macaw,Ara ambiguus
1018,Red-and-green Macaw,Ara chloropterus
1019,Scarlet Macaw,Ara macao
1020,Cuban Macaw,Ara tricolor
1021,Blue-and-yellow Macaw,Ara ararauna
1022,Green Parakeet,Psittacara holochlorus
1023,Pacific Parakeet,Psittacara strenuus
1024,Crimson-fronted Parakeet,Psittacara finschi
1025,Cuban Parakeet,Psittacara euops
1026,Puerto Rican Parakeet,Psittacara maugei
1027,Hispaniolan Parakeet,Psittacara chloropterus
1028,Mitred Parakeet,Psittacara mitratus
1029,Thick-billed Parrot,Rhynchopsitta pachyrhyncha
1030,Maroon-fronted Parrot,Rhynchopsitta terrisi
1031,Barred Parakeet,Bolborhynchus lineola
1032,Green-rumped Parrotlet,Forpus passerinus
1033,Mexican Parrotlet,Forpus cyanopygius
1034,Spectacled Parrotlet,Forpus conspicillatus
1035,Orange-chinned Parakeet,Brotogeris jugularis
1036,White-winged Parakeet,Brotogeris versicolurus
1037,Red-fronted Parrotlet,Touit costaricensis
1038,Blue-fronted Parrotlet,Touit dilectissimus
1039,Brown-hooded Parrot,Pyrilia haematotis
1040,Saffron-headed Parrot,Pyrilia pyrilia
1041,Blue-headed Parrot,Pionus menstruus
1042,White-crowned Parrot,Pionus senilis
1043,White-fronted Parrot,Amazona albifrons
1044,Yellow-lored Parrot,Amazona xantholora
1045,Cuban Parrot,Amazona leucocephala
1046,Yellow-billed Parrot,Amazona collaria
1047,Hispaniolan Parrot,Amazona ventralis
1048,Puerto Rican Parrot,Amazona vittata
1049,Black-billed Parrot,Amazona agilis
1050,Red-crowned Parrot,Amazona viridigenalis
1051,Lilac-crowned Parrot,Amazona finschi
1052,Red-lored Parrot,Amazona autumnalis
1053,Mealy Parrot,Amazona farinosa
1054,Yellow-headed Parrot,Amazona oratrix
1055,Yellow-naped Parrot,Amazona auropalliata
1056,Yellow-crowned Parrot,Amazona ochrocephala
1057,Red-necked Parrot,Amazona arausiaca
1058,St. Lucia Parrot,Amazona versicolor
1059,St. Vincent Parrot,Amazona guildingii
1060,Imperial Parrot,Amazona imperialis
1061,Rose-ringed Parakeet,Psittacula krameri
1062,Rosy-faced Lovebird,Agapornis roseicollis
1063,Budgerigar,Melopsittacus undulatus
1064,Sapayoa,Sapayoa aenigma
1065,Fasciated Antshrike,Cymbilaimus lineatus
1066,Great Antshrike,Taraba major
1067,Barred Antshrike,Thamnophilus doliatus
1068,Black Antshrike,Thamnophilus nigriceps
1069,Black-hooded Antshrike,Thamnophilus bridgesi
1070,Black-crowned Antshrike,Thamnophilus atrinucha
1071,Spiny-faced Antshrike,Xenornis setifrons
1072,Russet Antshrike,Thamnistes anabatinus
1073,Plain Antvireo,Dysithamnus mentalis
1074,Streak-crowned Antvireo,Dysithamnus striaticeps
1075,Spot-crowned Antvireo,Dysithamnus puncticeps
1076,Moustached Antwren,Myrmotherula ignota
1077,Pacific Antwren,Myrmotherula pacifica
1078,White-flanked Antwren,Myrmotherula axillaris
1079,Slaty Antwren,Myrmotherula schisticolor
1080,Checker-throated Antwren,Epinecrophylla fulviventris
1081,Rufous-winged Antwren,Herpsilochmus rufimarginatus
1082,Dot-winged Antwren,Microrhopias quixensis
1083,White-fringed Antwren,Formicivora grisea
1084,Rufous-rumped Antwren,Euchrepomis callinota
1085,Dusky Antbird,Cercomacroides tyrannina
1086,Jet Antbird,Cercomacra nigricans
1087,Bare-crowned Antbird,Gymnocichla nudiceps
1088,White-bellied Antbird,Myrmeciza longipes
1089,Chestnut-backed Antbird,Myrmeciza exsul
1090,Dull-mantled Antbird,Myrmeciza laemosticta
1091,Zeledon's Antbird,Myrmeciza zeledoni
1092,Spotted Antbird,Hylophylax naevioides
1093,Wing-banded Antbird,Myrmornis torquata
1094,Bicolored Antbird,Gymnopithys bicolor
1095,Ocellated Antbird,Phaenostictus mcleannani
1096,Black-crowned Antpitta,Pittasoma michleri
1097,Scaled Antpitta,Grallaria guatimalensis
1098,Streak-chested Antpitta,Hylopezus perspicillatus
1099,Thicket Antpitta,Hylopezus dives
1100,Ochre-breasted Antpitta,Grallaricula flavirostris
1101,Tacarcuna Tapaculo,Scytalopus panamensis
1102,Choco Tapaculo,Scytalopus chocoensis
1103,Silvery-fronted Tapaculo,Scytalopus argentifrons
1104,Black-faced Antthrush,Formicarius analis
1105,Black-headed Antthrush,Formicarius nigricapillus
1106,Rufous-breasted Antthrush,Formicarius rufipectus
1107,Tawny-throated Leaftosser,Sclerurus mexicanus
1108,Gray-throated Leaftosser,Sclerurus albigularis
1109,Scaly-throated Leaftosser,Sclerurus guatemalensis
1110,Olivaceous Woodcreeper,Sittasomus griseicapillus
1111,Long-tailed Woodcreeper,Deconychura longicauda
1112,Ruddy Woodcreeper,Dendrocincla homochroa
1113,Tawny-winged Woodcreeper,Dendrocincla anabatina
1114,Plain-brown Woodcreeper,Dendrocincla fuliginosa
1115,Wedge-billed Woodcreeper,Glyphorynchus spirurus
1116,Northern Barred-Woodcreeper,Dendrocolaptes sanctithomae
1117,Black-banded Woodcreeper,Dendrocolaptes picumnus
1118,Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus
1119,Cocoa Woodcreeper,Xiphorhynchus susurrans
1120,Ivory-billed Woodcreeper,Xiphorhynchus flavigaster
1121,Black-striped Woodcreeper,Xiphorhynchus lachrymosus
1122,Spotted Woodcreeper,Xiphorhynchus erythropygius
1123,Straight-billed Woodcreeper,Dendroplex picus
1124,Red-billed Scythebill,Campylorhamphus trochilirostris
1125,Brown-billed Scythebill,Campylorhamphus pusillus
1126,White-striped Woodcreeper,Lepidocolaptes leucogaster
1127,Streak-headed Woodcreeper,Lepidocolaptes souleyetii
1128,Spot-crowned Woodcreeper,Lepidocolaptes affinis
1129,Plain Xenops,Xenops minutus
1130,Streaked Xenops,Xenops rutilans
1131,Buffy Tuftedcheek,Pseudocolaptes lawrencii
1132,Sharp-tailed Streamcreeper,Lochmias nematura
1133,Slaty-winged Foliage-gleaner,Philydor fuscipenne
1134,Buff-fronted Foliage-gleaner,Philydor rufum
1135,Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps
1136,Lineated Foliage-gleaner,Syndactyla subalaris
1137,Ruddy Foliage-gleaner,Clibanornis rubiginosus
1138,Streak-breasted Treehunter,Thripadectes rufobrunneus
1139,Buff-throated Foliage-gleaner,Automolus ochrolaemus
1140,Striped Woodhaunter,Automolus subulatus
1141,Spotted Barbtail,Premnoplex brunnescens
1142,Beautiful Treerunner,Margarornis bellulus
1143,Ruddy Treerunner,Margarornis rubiginosus
1144,Double-banded Graytail,Xenerpestes minlosi
1145,Red-faced Spinetail,Cranioleuca erythrops
1146,Coiba Spinetail,Cranioleuca dissita
1147,Pale-breasted Spinetail,Synallaxis albescens
1148,Slaty Spinetail,Synallaxis brachyura
1149,Rufous-breasted Spinetail,Synallaxis erythrothorax
1150,Yellow-bellied Tyrannulet,Ornithion semiflavum
1151,Brown-capped Tyrannulet,Ornithion brunneicapillus
1152,Northern Beardless-Tyrannulet,Camptostoma imberbe
1153,Southern Beardless-Tyrannulet,Camptostoma obsoletum
1154,Mouse-colored Tyrannulet,Phaeomyias murina
1155,Cocos Flycatcher,Nesotriccus ridgwayi
1156,Yellow Tyrannulet,Capsiempis flaveola
1157,Yellow-crowned Tyrannulet,Tyrannulus elatus
1158,Forest Elaenia,Myiopagis gaimardii
1159,Gray Elaenia,Myiopagis caniceps
1160,Jamaican Elaenia,Myiopagis cotta
1161,Greenish Elaenia,Myiopagis viridicata
1162,Caribbean Elaenia,Elaenia martinica
1163,Yellow-bellied Elaenia,Elaenia flavogaster
1164,White-crested Elaenia,Elaenia albiceps
1165,Lesser Elaenia,Elaenia chiriquensis
1166,Mountain Elaenia,Elaenia frantzii
1167,Greater Antillean Elaenia,Elaenia fallax
1168,Torrent Tyrannulet,Serpophaga cinerea
1169,Olive-striped Flycatcher,Mionectes olivaceus
1170,Ochre-bellied Flycatcher,Mionectes oleagineus
1171,Sepia-capped Flycatcher,Leptopogon amaurocephalus
1172,Slaty-capped Flycatcher,Leptopogon superciliaris
1173,Yellow-green Tyrannulet,Phylloscartes flavovirens
1174,Rufous-browed Tyrannulet,Phylloscartes superciliaris
1175,Rough-legged Tyrannulet,Phyllomyias burmeisteri
1176,Sooty-headed Tyrannulet,Phyllomyias griseiceps
1177,Paltry Tyrannulet,Zimmerius vilissimus
1178,Northern Scrub-Flycatcher,Sublegatus arenarum
1179,Bronze-olive Pygmy-Tyrant,Pseudotriccus pelzelni
1180,Black-capped Pygmy-Tyrant,Myiornis atricapillus
1181,Scale-crested Pygmy-Tyrant,Lophotriccus pileatus
1182,Pale-eyed Pygmy-Tyrant,Lophotriccus pilaris
1183,Northern Bentbill,Oncostoma cinereigulare
1184,Southern Bentbill,Oncostoma olivaceum
1185,Slate-headed Tody-Flycatcher,Poecilotriccus sylvia
1186,Common Tody-Flycatcher,Todirostrum cinereum
1187,Black-headed Tody-Flycatcher,Todirostrum nigriceps
1188,Brownish Twistwing,Cnipodectes subbrunneus
1189,Eye-ringed Flatbill,Rhynchocyclus brevirostris
1190,Olivaceous Flatbill,Rhynchocyclus olivaceus
1191,Yellow-olive Flycatcher,Tolmomyias sulphurescens
1192,Yellow-margined Flycatcher,Tolmomyias assimilis
1193,Yellow-breasted Flycatcher,Tolmomyias flaviventris
1194,Stub-tailed Spadebill,Platyrinchus cancrominus
1195,White-throated Spadebill,Platyrinchus mystaceus
1196,Golden-crowned Spadebill,Platyrinchus coronatus
1197,Royal Flycatcher,Onychorhynchus coronatus
1198,Ruddy-tailed Flycatcher,Terenotriccus erythrurus
1199,Tawny-breasted Flycatcher,Myiobius villosus
1200,Sulphur-rumped Flycatcher,Myiobius sulphureipygius
